,X,Y,area,classification,autumn_R,autumn_G,autumn_B,autumn_NDVI,autumn_NDWI,autumn_NIR,autumn_SWIR,spring_R,spring_G,spring_B,spring_NDVI,spring_NDWI,spring_NIR,spring_SWIR,summer_R,summer_G,summer_B,summer_NDVI,summer_NDWI,summer_NIR,summer_SWIR,summer_VH,summer_VV,log_area,CO2_flux,CH4_flux,CO2_weight,CH4_weight,CO2_precentage,CH4_precentage
11,-76.43358383106323,42.27512151254251,1900,Pond,0.0264921051597124,0.0323789471662358,0.0184578945566164,3.817052761166308e-05,-2.749110788164743e-05,0.0689973689027522,0.1149368446908499,0.0490921051486542,0.069965789584737,0.0544947364220493,3.898234775222495e-05,-2.554318244189122e-05,0.1240552648117667,0.1402947392902876,0.0347631573677063,0.0573131577356865,0.0406657894583124,5.122976692387295e-05,-3.408691899446574e-05,0.1232710531667659,0.107978948244923,-21.671430808740123,-15.783972622206385,7.549609165154532,21.21,0.65,40299.0,1235.0,0.0002691242159484123,0.0003707469545464234
12,-76.65598947207302,42.28769953065463,5600,Pond,0.023022115499211,0.0239403847103508,0.0163451923200717,3.776614525682257e-05,-2.8608629535780823e-05,0.0560471152600187,0.0966826923764669,0.0354317309191593,0.0451855770168969,0.0382548080613979,2.8135256649455605e-05,-1.6892887139455033e-05,0.0717730770389048,0.1178653837683109,0.0271586537934266,0.0458817305759741,0.0316336543944019,4.995734794787355e-05,-3.5634077326344246e-05,0.1036086538090155,0.091200961659734,-22.994599752765076,-18.455789565759662,8.630521876723241,21.21,0.65,118776.0,3640.0,0.0007932082154268994,0.0010927278660315637
13,-76.61793042010002,42.28717690365541,1500,Pond,0.0180666665857036,0.0277933331827322,0.0151633334656556,5.927136395863878e-05,-4.292729172448162e-05,0.0904299978166818,0.110939997434616,0.0339866666744152,0.0525799994667371,0.0414066669841607,4.707703459037778e-05,-2.898074044423993e-05,0.0954599981506665,0.132066665093104,0.0254400003701448,0.0410266668846209,0.0312000002712011,5.733216239605099e-05,-4.148352842700357e-05,0.1086900010704994,0.1133433332045873,-21.14965139940084,-15.25267155288581,7.313220387090301,21.21,0.65,31815.0,975.0,0.00021246648627506234,0.0002926949641155974
15,-76.56697695279031,42.28820736584579,22800,Pond,0.014925116265929,0.0172023255854498,0.0114223256144066,1.2278045417503542e-05,-4.619180065232772e-06,0.0298151162301385,0.0358681397815776,0.0355595349485791,0.044096511645719,0.0397616278726694,2.7868093634741702e-05,-2.1202480765126428e-05,0.078649535411319,0.0746613951963047,0.0281811628404051,0.0346337209520644,0.0304595350266196,2.8456659865062036e-05,-2.037026380771009e-05,0.0627693024658879,0.04962976742969,-23.201553634491503,-17.60852919427109,10.034515814942532,21.57,0.28,491796.0,6384.000000000001,0.0032843051417297047,0.0019164765650399734
16,-76.56036637669364,42.28457178933147,500,Pond,0.0220499996095895,0.0287799999117851,0.0153700001537799,5.135123938089236e-05,-3.590958367567509e-05,0.0655599988996982,0.1217000007629394,0.0337000001221895,0.0490600004792213,0.0377800002694129,4.904190209344961e-05,-3.537067968863994e-05,0.1162599995732307,0.1422800034284591,0.0261100001633167,0.0445599995553493,0.0314299996942281,5.782729276688769e-05,-4.214748842059635e-05,0.126690000295639,0.1214199960231781,-22.004448614084545,-15.362411997185529,6.214608098422191,35.18,2.28,17590.0,1140.0,0.0001174692910129922,0.00034222795804285237
17,-76.55501960412258,42.282088845886165,2500,Pond,0.0140460000187158,0.0166160000860691,0.013136000148952,5.4822321253595873e-05,-4.800430600880645e-05,0.0558180001378059,0.0699480003118515,0.0217599999532103,0.026400000154972,0.0252540000528097,4.198909395199735e-05,-3.502088111417834e-05,0.0658479994535446,0.0968940007686615,0.0270080000162124,0.0419639998674392,0.0341839993745088,5.633828492136672e-05,-4.225605145620648e-05,0.1106399987637996,0.0958519986271858,-19.87637321323809,-13.9459033290611,7.824046010856292,21.21,0.65,53025.0,1625.0,0.0003541108104584372,0.0004878249401926623
18,-76.54179595398269,42.28472225714157,800,Pond,0.0181000006850808,0.017237500520423,0.0110875001410022,5.413907729234779e-05,-5.675645479641389e-05,0.0666624996811151,0.1034125015139579,0.032043750397861,0.0419749999418854,0.0319687500596046,5.282991332933307e-05,-4.066976134708966e-05,0.0953999999910593,0.1377937458455562,0.0232625002972781,0.0375749999657273,0.02938749990426,6.374001350195613e-05,-5.121817639519577e-05,0.1234249994158744,0.1206499990075826,-16.120122815128543,-9.635358722357529,6.684611727667927,35.18,2.28,28144.0,1823.9999999999998,0.0001879508656207875,0.0005475647328685636
19,-76.5419307012753,42.28290316869122,800,Pond,0.0227874998236075,0.0243999999947845,0.0127999999676831,4.308033021516167e-05,-3.719845472005545e-05,0.0648250002413988,0.1168499998748302,0.0345374997705221,0.0572124999016523,0.0385374999605119,4.759442890645005e-05,-3.656140279417741e-05,0.1394500005990266,0.1574250012636184,0.0209375000558793,0.0357749997638165,0.0280750000383704,6.635428599111037e-05,-5.141481642567669e-05,0.1205249987542629,0.1178500019013881,-17.260440716927,-10.38113423427821,6.684611727667927,35.18,2.28,28144.0,1823.9999999999998,0.0001879508656207875,0.0005475647328685636
20,-76.53019262360394,42.283107754519655,4100,Pond,0.0208000001069661,0.0297094595089957,0.0159945944827553,3.587071257021995e-05,-1.4690964290649215e-05,0.0512337844969855,0.0893432433540756,0.0415797299025832,0.0553837840420168,0.0389864863072698,3.954737076128367e-05,-2.539538814203666e-05,0.1124756762103454,0.1323378372031289,0.0251905402621707,0.043281080855711,0.0321959461009985,5.246510939999811e-05,-2.9824624254763117e-05,0.0884067568223218,0.084399999396221,-21.88956529658573,-15.179025180626164,8.318742252692399,21.21,0.65,86961.0,2665.0,0.0005807417291518371,0.0008000329019159662
22,-76.51391393883624,42.28730089334526,8100,Pond,0.0450373241599176,0.0465760560784961,0.0277725351895664,5.994243951084774e-05,-5.984440679345477e-05,0.195450704807127,0.1705253533494304,0.0421288734118283,0.0468119718659092,0.0406605632529712,2.983455344523028e-05,-2.531905755231364e-05,0.0828507046779276,0.0842394368119642,0.0525295775331242,0.0706838030420558,0.0489866197843786,5.76349043961234e-05,-4.763033211929724e-05,0.2422147896927847,0.1707394372829249,-16.920591466053732,-9.82660829804211,8.99961934066053,21.21,0.65,171801.0,5265.0,0.0011473190258853366,0.0015805528062242259
24,-76.51650583350815,42.28448076004941,7500,Pond,0.0220926667253176,0.028233333180348,0.0200053334484497,1.8050644702043428e-05,-7.187419665039366e-06,0.0438886667788028,0.0555153332650661,0.045561333199342,0.0489720005045334,0.0441806666056315,2.0034845435172124e-05,-1.541964955322328e-05,0.0711366666356722,0.080674666861693,0.0341946664949258,0.0433886671066284,0.0347060000399748,4.706035271131744e-05,-3.856254610582255e-05,0.1098993334174156,0.0679880000154177,-19.850606496318967,-12.737995791080062,8.922658299524402,21.21,0.65,159075.0,4875.0,0.0010623324313753116,0.001463474820577987
26,-76.5049356871975,42.28664892609164,3100,Pond,0.0212645162377626,0.0237177419025571,0.0139290323901561,3.595628127626579e-05,-3.2062325713453786e-05,0.0588064522392326,0.0790677429927933,0.0243370968007272,0.0402048391199881,0.030480645236469,4.5031963963992894e-05,-2.596076718609472e-05,0.0710016129718672,0.0908790314870496,0.0229999999846181,0.0375209685054517,0.0273774194140588,5.652816746019638e-05,-3.9740578241405945e-05,0.1048725797764716,0.0826790313566884,-17.042786910696712,-9.72441445812705,8.039157390473237,21.21,0.65,65751.0,2015.0,0.00043909740496846214,0.0006049029258389012
29,-76.44136991968868,42.28769511928495,3200,Pond,0.0240716667224963,0.0318949998666842,0.0161649999519189,4.665056003432256e-05,-3.290763699321057e-05,0.0842049997920791,0.1099900009731451,0.0430249997725089,0.0555050000548362,0.048200000077486,3.395937928871717e-05,-2.8354619037903223e-05,0.1078466673692067,0.1139783330261707,0.0265799999857942,0.0371549999341368,0.027620000205934,5.355426025441072e-05,-4.20096940312457e-05,0.1181999998788038,0.1031033356984456,-21.78691485930648,-15.519776026597889,8.070906088787819,21.21,0.65,67872.0,2080.0,0.00045326183738679965,0.0006244159234466078
30,-76.4227804077779,42.28711402158553,1200,Pond,0.0241499996433655,0.0273166666738688,0.0165833334128061,4.290680908525246e-05,-3.649407547830682e-05,0.0714749985684951,0.0887166674559315,0.0598791673158605,0.0756583325564861,0.0543375002841154,2.888555756423254e-05,-1.958770303644997e-05,0.1155583349366982,0.1366749970863262,0.0334041671206553,0.0504666659981012,0.0338458344340324,5.9110098542684376e-05,-4.617755742704807e-05,0.1549583344409863,0.1178624983876943,-18.971365738999328,-13.02791373128808,7.090076835776092,21.21,0.65,25452.0,780.0,0.00016997318902004988,0.00023415597129247792
32,-76.68761658661182,42.288686073332734,700,Pond,0.0312000003510287,0.036814285442233,0.0208142854805503,3.27452908095438e-05,-2.2282505986887763e-05,0.0652428562087672,0.079085716179439,0.0433071431304727,0.0620785722775118,0.0449642847691263,2.355127980990801e-05,-1.3117922987605977e-05,0.0753642842173576,0.1039357153432709,0.0324071424880198,0.0459214289273534,0.0352357141673564,4.63330169233294e-05,-3.531146960865174e-05,0.0896785695637975,0.0998285732098988,-17.079443217140813,-11.525816076954394,6.551080335043404,35.18,2.28,24626.0,1595.9999999999998,0.00016445700741818907,0.0004791191412599932
34,-76.61691756961717,42.29462618314898,800,Pond,0.0272937503177672,0.0336500001139938,0.020806249929592,5.282424126562546e-05,-4.273741114957375e-05,0.0924062496051192,0.1173999989405274,0.0596125004813075,0.0827874988317489,0.0643312493339181,3.863130473291676e-05,-2.878721124943695e-05,0.1680812481790781,0.1522749997675418,0.0326687502674758,0.0483812494203448,0.0343500005546957,5.9548668104980607e-05,-4.552049108497158e-05,0.1345999985933303,0.1207000007852912,-19.952195671010376,-13.301016749146417,6.684611727667927,35.18,2.28,28144.0,1823.9999999999998,0.0001879508656207875,0.0005475647328685636
35,-76.62011460954798,42.28967422014527,700,Pond,0.0216571427881717,0.0327785720250436,0.0175642858126333,4.969649255924326e-05,-3.175788814197793e-05,0.0810214297047683,0.1039785721472331,0.040057142398187,0.0589785714234624,0.0446928574570587,3.8983216654742137e-05,-2.677267340394402e-05,0.1168642821056502,0.1380500005824225,0.0325285712523119,0.0496285712080342,0.0328142866492271,4.495355928416497e-05,-2.9317402680005345e-05,0.0961285712463515,0.1111142890793936,-18.61983139083409,-13.415503741398403,6.551080335043404,35.18,2.28,24626.0,1595.9999999999998,0.00016445700741818907,0.0004791191412599932
36,-76.60354217329547,42.28843730910022,1300,Pond,0.0155653846808351,0.0201846156269311,0.0108807693737057,4.536741303477006e-05,-3.4037854465378376e-05,0.0476961535616562,0.0834769216867593,0.0450153837983424,0.0563384618323582,0.0498423074873594,3.461381325345988e-05,-2.2644880538372e-05,0.0976269242282097,0.1307153856525054,0.0263846151244181,0.0416923079353112,0.0294769228650973,4.94824327268781e-05,-3.282544429776653e-05,0.0931769231191048,0.0934384597035554,-20.346898141089323,-14.629929140529574,7.170119543449628,21.21,0.65,27573.0,845.0,0.00018413762143838736,0.0002536689689001844
37,-76.59320953207711,42.29008594798382,2400,Pond,0.0265937498770654,0.0331833333087464,0.0282458330815037,5.223329541574154e-05,-4.319299675141034e-05,0.0927791666860381,0.1211854160452882,0.0339229168991247,0.0524104169259468,0.046070833535244,3.460297144404952e-05,-2.260487105350724e-05,0.086856251116842,0.1091645822549859,0.0302708331340303,0.0451916665770113,0.0421895833375553,5.795583198657065e-05,-4.450083694488664e-05,0.1299749996202687,0.1218937486410141,-19.93213946814912,-13.383345090475933,7.783224016336037,21.21,0.65,50904.0,1560.0,0.00033994637804009975,0.00046831194258495584
39,-76.51579197229545,42.29190112070077,19500,Pond,0.0267946154022446,0.0253210255112021,0.0176089744441784,3.727146699813416e-05,-3.671576579656688e-05,0.0661217949233758,0.0804838464714777,0.0384233332788332,0.0462223075521298,0.0378782053884023,3.671538777966933e-05,-3.026308808656699e-05,0.0936356409811056,0.0862999999752411,0.0371507693655215,0.0493597435836608,0.0375156411089194,5.23638249013367e-05,-4.310732114250781e-05,0.1370723072343911,0.0984928207328686,-17.23869567954302,-10.585956732346617,9.878169744551839,21.57,0.28,420615.0,5460.000000000001,0.0028089451870056685,0.0016390917990473457
42,-76.50918510274417,42.29584767369276,63800,Pond,0.0120949447177068,0.0147585308552229,0.0084240916429681,6.385028255772771e-05,-5.3742487834479885e-05,0.0477676146029602,0.0480856239842765,0.0256802527790103,0.0330549763930493,0.0300101106265474,3.084393291775585e-05,-2.245605147644053e-05,0.0583844392267636,0.0633887043649457,0.0528301737325686,0.0802372827578636,0.0580402843883676,6.336675641369877e-05,-5.144156807510176e-05,0.2659855448003817,0.1429723542165982,-22.08171496154444,-14.252179637987236,11.06350846933288,21.57,0.28,1376166.0,17864.0,0.009190292457998033,0.005362772142524136
43,-76.50478162129662,42.2906024792722,600,Pond,0.0429999992872277,0.0332333335342506,0.0203166667682429,5.435616367321927e-05,-6.197338795269995e-05,0.1446500023206075,0.1524999986092249,0.0193083337508142,0.0320749999955296,0.0231166665131847,6.332083891417521e-05,-5.2337343731778674e-05,0.0983499996364116,0.1275499972204367,0.0265166666358709,0.0394416665658354,0.0284833333765467,7.365906761454728e-05,-6.33218096481869e-05,0.1759000023206075,0.1469083316624164,-18.413543147222786,-12.839891012304884,6.396929655216146,35.18,2.28,21108.0,1367.9999999999998,0.00014096314921559062,0.00041067354965142275
44,-76.5059745249497,42.28933640298913,7100,Pond,0.0166232395379371,0.0214422535098774,0.0120788732753463,4.222616658987302e-05,-2.674532970158779e-05,0.0506007041992016,0.0635704226581983,0.0300915496764888,0.0424795773562411,0.032604929427026,3.716597714462206e-05,-2.127259124392021e-05,0.0739457747361189,0.08209295728257,0.0289380282268557,0.0430161973172929,0.0318253520141604,4.882337370744749e-05,-3.1707652730071626e-05,0.0974147880161312,0.0727619717658405,-20.92688771849324,-14.824136259664472,8.867850063029406,21.21,0.65,150591.0,4615.0,0.0010056747017019617,0.001385422830147161
45,-76.45306646592822,42.28792250534123,1400,Pond,0.0211892859078943,0.0213035716941314,0.0138857142134968,5.006501825326788e-05,-4.9703581680660136e-05,0.0665321429925305,0.1151892872793333,0.046235714373844,0.0470785716814654,0.0421250004853521,4.308005113021604e-05,-4.1786748624872416e-05,0.1131285716380391,0.1439285693424088,0.0248071428920541,0.0350178570619651,0.0325535715424588,6.060469864418597e-05,-4.947239488371581e-05,0.1143678570432322,0.1060499995946884,-18.465325137170947,-11.30464047920176,7.24422751560335,21.21,0.65,29694.0,910.0,0.00019830205385672485,0.0002731819665078909
46,-76.43918364486595,42.29404003242609,500,Pond,0.01308000003919,0.0134699998423457,0.0086200000718235,6.638303675572388e-05,-6.673844036413357e-05,0.070499999076128,0.1013699993491172,0.039640000090003,0.0453199997544288,0.038910000026226,3.226426742912736e-05,-2.797437336994335e-05,0.0843299984931945,0.1468999981880188,0.015880000218749,0.0270500000566244,0.0227799996733665,7.029204498394392e-05,-5.77748563955538e-05,0.1049300014972686,0.1220999985933303,-15.75830259830342,-10.63331169392696,6.214608098422191,35.18,2.28,17590.0,1140.0,0.0001174692910129922,0.00034222795804285237
47,-76.43926658234673,42.29040749610983,8600,Pond,0.0180598837323486,0.0243226745772327,0.0130848837908097,2.8345241579644564e-05,-1.1922367602109087e-05,0.0461930230931313,0.0548232554696327,0.0379843024407015,0.0539011628215396,0.0474383720131807,2.457455915180956e-05,-1.2322134453173413e-05,0.0703912791037975,0.073337209692528,0.0228534883408005,0.0338197676464915,0.0264604651304178,4.138160469199986e-05,-2.5451508090660607e-05,0.071625582050792,0.0664098838040995,-24.3021148441981,-18.409805469925345,9.0595174822416,21.21,0.65,182406.0,5590.0,0.001218141187977024,0.0016781177942627584
48,-76.43606424504182,42.29111152459986,800,Pond,0.010225000209175,0.014412499644095,0.0084249999490566,6.90615534040262e-05,-5.666062270393013e-05,0.0633625006303191,0.0595750017091631,0.0609750002622604,0.071187499910593,0.0735625000670552,3.24478301081399e-05,-3.0378957717402955e-05,0.165149999782443,0.1483125016093254,0.024681249866262,0.0438124998472631,0.030262499814853,5.924971083004493e-05,-4.380345808385755e-05,0.1000062515959143,0.079599997960031,-21.8827771448395,-16.565992221868242,6.684611727667927,35.18,2.28,28144.0,1823.9999999999998,0.0001879508656207875,0.0005475647328685636
49,-76.43350139236871,42.29092532834096,5500,Pond,0.0387054546312852,0.0838927266272631,0.0587709090249104,-9.6694577564449e-06,4.01427623356457e-05,0.0469945453446019,0.0586590910499746,0.0579372728412801,0.0885527273470705,0.0685463639822873,1.0320805033230004e-05,1.5249844368141073e-05,0.0770445451140403,0.0858009085059166,0.0412245455790649,0.0859699997034939,0.0657327269965952,1.8832074921833323e-05,1.374981139551065e-05,0.0775827271694486,0.074759090217677,-24.20727982095748,-18.57439115938718,8.612503371220562,21.21,0.65,116655.0,3575.0,0.000779043783008562,0.0010732148684238572
50,-76.42966573022032,42.28980632533412,3400,Pond,0.0117705881814746,0.0253485294935457,0.0154838236322736,5.16006066926125e-05,-1.6751226693860884e-05,0.0408426471711958,0.0521382350912865,0.0398882356855799,0.0662294117843403,0.0528161763487493,3.0359684093555724e-05,-7.35586943659762e-06,0.0831602945485535,0.0827764702193877,0.0252176471164121,0.043972059207804,0.0339705882155719,4.759998356509159e-05,-2.526593172714296e-05,0.0803647055564557,0.0665544118074809,-19.51864448075868,-13.975947155609695,8.131530710604252,21.21,0.65,72114.0,2210.0,0.00048159070222347463,0.0006634419186620208
51,-76.43084571674186,42.28841657874751,2300,Pond,0.0364521742676911,0.0525500000980885,0.0322043478650891,7.63978433180613e-06,7.94142614841289e-06,0.060891304327094,0.0626021753186765,0.0545173910972864,0.0663043480852375,0.0506956522231516,1.3898279843013608e-05,-3.1647022292022684e-06,0.0710521737194579,0.0897326087174208,0.0531869559832241,0.0810543475267679,0.0559108689751314,3.273174898703987e-05,-1.0838984246180663e-05,0.0892956517636776,0.0786391308774118,-19.66414452708909,-14.1526047107486,7.7406644019172415,21.21,0.65,48783.0,1495.0,0.00032578194562176224,0.00044879894497724937
52,-76.68286264509237,42.29626186556215,900,Pond,0.0167666667451461,0.0198611111069719,0.0131666665482852,5.8843997572289984e-05,-5.04359757340151e-05,0.0623166656328572,0.1051777775088946,0.0392777783175309,0.0556555555926428,0.0400666669011116,4.475855894270353e-05,-3.6389676097314805e-05,0.1187666671143637,0.1287777771552403,0.0216833332346545,0.035211111108462,0.0274999998509883,6.962974374699924e-05,-5.712878838595417e-05,0.1430388887723287,0.1265055545502239,-17.20052522258121,-10.743439390289032,6.802394763324311,35.18,2.28,31662.0,2052.0,0.00021144472382338594,0.0006160103244771342
53,-76.68329184017257,42.29537852219943,800,Pond,0.0213499999372288,0.0206812501419335,0.014931250247173,4.605281492331415e-05,-4.233985873725032e-05,0.054974999744445,0.1038687480613589,0.0398625009693205,0.0620750002562999,0.0428624995984137,4.9138979647977976e-05,-3.618644132075133e-05,0.1456374982371926,0.1362687489017844,0.0461624993477016,0.068631250411272,0.0464750006794929,5.9445253100420814e-05,-4.65965358671383e-05,0.1775062531232834,0.1428187489509582,-16.845454822275244,-11.604144797375868,6.684611727667927,35.18,2.28,28144.0,1823.9999999999998,0.0001879508656207875,0.0005475647328685636
54,-76.62093191604309,42.30235169459241,1600,Pond,0.0206346152565227,0.0316000001934858,0.0178115386874056,6.21264810503747e-05,-4.344562302531603e-05,0.1014384613014184,0.0976692329232509,0.047161537867326,0.0757692312965026,0.0558153855112882,5.048915185258151e-05,-3.088357873027602e-05,0.1503692309443767,0.1379923086899977,0.044038461951109,0.0708076930963076,0.0493538459906211,5.55491032383333e-05,-3.784245689950274e-05,0.1735999991114322,0.1359461580331508,-19.01308078637674,-13.327794879410574,7.3777589082278725,21.21,0.65,33936.0,1040.0,0.00022663091869339983,0.0003122079617233039
55,-76.60465332020074,42.296249888025024,500,Pond,0.0231499999761581,0.0281500004231929,0.0166499998420476,6.36979857517872e-05,-5.751225326093845e-05,0.1096499994397163,0.1022699996829032,0.035199999064207,0.0551400005817413,0.0408400006592273,5.319894553394989e-05,-4.248398181516677e-05,0.1200799986720085,0.1536800026893615,0.0255800005048513,0.0444100007414817,0.0358500011265277,6.975042924750596e-05,-5.505125009221956e-05,0.1581000030040741,0.1293399959802627,-14.884129541145914,-10.14080987105153,6.214608098422191,35.18,2.28,17590.0,1140.0,0.0001174692910129922,0.00034222795804285237
56,-76.5751892205354,42.3013523188388,2800,Pond,0.0319571428865726,0.0349714291015906,0.0216642858992729,5.56142215698076e-05,-4.842359560695643e-05,0.1215571439159768,0.1069499988641057,0.0419625003955193,0.0499535716537918,0.0407321430476648,3.992829338780472e-05,-3.3045047140538895e-05,0.0944696430649076,0.0947178570287568,0.0287339286213474,0.0433464284454073,0.0354589283732431,5.28171201170023e-05,-3.97397266819358e-05,0.1137267868699772,0.0935821416122572,-17.309077918398003,-10.665075083307531,7.937374696163295,21.21,0.65,59388.0,1820.0,0.0003966041077134497,0.0005463639330157818
57,-76.54915383966039,42.30130935593393,2300,Pond,0.032480952418631,0.0386261908071381,0.0270071428357845,5.721371157311036e-05,-4.639347372133107e-05,0.1282023797255186,0.1184999992450078,0.0318285715544507,0.0468214285515603,0.0344785709111463,5.35138261468438e-05,-3.2666087679986266e-05,0.116611905041195,0.1315976221646581,0.0303261907150348,0.047842856851362,0.0371738095723447,5.998598031250627e-05,-4.317639000614041e-05,0.1284595247180689,0.118509523215748,-20.31085584017396,-13.842606916986798,7.7406644019172415,21.21,0.65,48783.0,1495.0,0.00032578194562176224,0.00044879894497724937
